reader,adapter,base,base_quant,onnx,onnx_quant
bert-base-uncased,boolq,423.32056427001953,388.361328125,421.37060832977295,106.04025077819824
roberta-base,boolq,481.16434478759766,446.2051086425781,479.23046493530273,120.51875019073486
bert-base-uncased,cosmos_qa,423.31763076782227,388.361328125,421.3655071258545,106.03451919555664
roberta-base,cosmos_qa,481.1614112854004,446.2051086425781,479.2253541946411,120.5130090713501
bert-base-uncased,drop,421.06763458251953,388.361328125,419.113392829895,105.46475887298584
roberta-base,drop,478.91141510009766,446.2051086425781,476.97324085235596,119.9432725906372
bert-base-uncased,hotpotqa,421.06763458251953,388.361328125,419.11475467681885,105.46763134002686
roberta-base,hotpotqa,478.91141510009766,446.2051086425781,476.9746026992798,119.94614505767822
bert-base-uncased,multirc,423.32056427001953,388.361328125,421.3712968826294,106.04170417785645
roberta-base,multirc,481.16434478759766,446.2051086425781,479.231143951416,120.5201940536499
bert-base-uncased,newsqa,421.06763458251953,388.361328125,419.11407375335693,105.46619510650635
roberta-base,newsqa,478.91141510009766,446.2051086425781,476.97392177581787,119.94470882415771
bert-base-uncased,quail,423.31763076782227,388.361328125,421.3640995025635,106.03137397766113
roberta-base,quail,481.1614112854004,446.2051086425781,479.2239465713501,120.50986385345459
roberta-base,quartz,481.1614112854004,446.2051086425781,479.22429847717285,120.51064968109131
bert-base-uncased,quoref,421.06763458251953,388.361328125,419.11407375335693,105.46619510650635
roberta-base,quoref,478.91141510009766,446.2051086425781,476.97392177581787,119.94470882415771
bert-base-uncased,race,423.31763076782227,388.361328125,421.36515522003174,106.03373336791992
roberta-base,race,481.1614112854004,446.2051086425781,479.22500228881836,120.51222324371338
bert-base-uncased,squad,421.06763458251953,388.361328125,419.113733291626,105.4654769897461
roberta-base,squad,478.91141510009766,446.2051086425781,476.9735813140869,119.94399070739746
bert-base-uncased,squad_v2,421.06763458251953,388.361328125,419.11475467681885,105.46763134002686
roberta-base,squad_v2,478.91141510009766,446.2051086425781,476.9746026992798,119.94614505767822
