base_name,onnx_name,skill,reader,adapter,resultdataset,runs
Quantized Base Model,span-extraction,bert-base-uncased,drop,1.0,drop,250
ONNX,span-extraction,bert-base-uncased,drop,1.0,drop,250
ONNX-OPT,span-extraction,bert-base-uncased,drop,1.0,drop,250
Quantized ONNX,span-extraction,bert-base-uncased,drop,0.768,drop,250
Quantized ONNX - OPT,span-extraction,bert-base-uncased,drop,0.768,drop,250
Quantized Base Model,span-extraction,roberta-base,drop,1.0,drop,250
ONNX,span-extraction,roberta-base,drop,1.0,drop,250
ONNX-OPT,span-extraction,roberta-base,drop,1.0,drop,250
Quantized ONNX,span-extraction,roberta-base,drop,0.812,drop,250
Quantized ONNX - OPT,span-extraction,roberta-base,drop,0.812,drop,250
Quantized Base Model,span-extraction,bert-base-uncased,quoref,1.0,quoref,250
ONNX,span-extraction,bert-base-uncased,quoref,1.0,quoref,250
ONNX-OPT,span-extraction,bert-base-uncased,quoref,1.0,quoref,250
Quantized ONNX,span-extraction,bert-base-uncased,quoref,0.816,quoref,250
Quantized ONNX - OPT,span-extraction,bert-base-uncased,quoref,0.816,quoref,250
Quantized Base Model,span-extraction,roberta-base,quoref,1.0,quoref,250
ONNX,span-extraction,roberta-base,quoref,1.0,quoref,250
ONNX-OPT,span-extraction,roberta-base,quoref,1.0,quoref,250
Quantized ONNX,span-extraction,roberta-base,quoref,0.884,quoref,250
Quantized ONNX - OPT,span-extraction,roberta-base,quoref,0.884,quoref,250
Quantized Base Model,span-extraction,bert-base-uncased,squad,1.0,squad,250
ONNX,span-extraction,bert-base-uncased,squad,1.0,squad,250
ONNX-OPT,span-extraction,bert-base-uncased,squad,1.0,squad,250
Quantized ONNX,span-extraction,bert-base-uncased,squad,0.896,squad,250
Quantized ONNX - OPT,span-extraction,bert-base-uncased,squad,0.896,squad,250
Quantized Base Model,span-extraction,roberta-base,squad,1.0,squad,250
ONNX,span-extraction,roberta-base,squad,1.0,squad,250
ONNX-OPT,span-extraction,roberta-base,squad,1.0,squad,250
Quantized ONNX,span-extraction,roberta-base,squad,0.984,squad,250
Quantized ONNX - OPT,span-extraction,roberta-base,squad,0.984,squad,250
Quantized Base Model,span-extraction,bert-base-uncased,squad_v2,1.0,squad_v2,250
ONNX,span-extraction,bert-base-uncased,squad_v2,1.0,squad_v2,250
ONNX-OPT,span-extraction,bert-base-uncased,squad_v2,1.0,squad_v2,250
Quantized ONNX,span-extraction,bert-base-uncased,squad_v2,0.868,squad_v2,250
Quantized ONNX - OPT,span-extraction,bert-base-uncased,squad_v2,0.868,squad_v2,250
Quantized Base Model,span-extraction,roberta-base,squad_v2,1.0,squad_v2,250
ONNX,span-extraction,roberta-base,squad_v2,1.0,squad_v2,250
ONNX-OPT,span-extraction,roberta-base,squad_v2,1.0,squad_v2,250
Quantized ONNX,span-extraction,roberta-base,squad_v2,0.904,squad_v2,250
Quantized ONNX - OPT,span-extraction,roberta-base,squad_v2,0.904,squad_v2,250
Quantized Base Model,categorical,bert-base-uncased,boolq,1.0,boolq,250
ONNX,categorical,bert-base-uncased,boolq,0.732,boolq,250
ONNX-OPT,categorical,bert-base-uncased,boolq,0.732,boolq,250
Quantized ONNX,categorical,bert-base-uncased,boolq,0.568,boolq,250
Quantized ONNX - OPT,categorical,bert-base-uncased,boolq,0.568,boolq,250
Quantized Base Model,categorical,roberta-base,boolq,1.0,boolq,250
ONNX,categorical,roberta-base,boolq,0.9,boolq,250
ONNX-OPT,categorical,roberta-base,boolq,0.9,boolq,250
Quantized ONNX,categorical,roberta-base,boolq,0.86,boolq,250
Quantized ONNX - OPT,categorical,roberta-base,boolq,0.86,boolq,250
Quantized Base Model,multiple-choice,bert-base-uncased,cosmos_qa,0.956,cosmos_qa,250
ONNX,multiple-choice,bert-base-uncased,cosmos_qa,1.0,cosmos_qa,250
ONNX-OPT,multiple-choice,bert-base-uncased,cosmos_qa,1.0,cosmos_qa,250
Quantized ONNX,multiple-choice,bert-base-uncased,cosmos_qa,0.76,cosmos_qa,250
Quantized ONNX - OPT,multiple-choice,bert-base-uncased,cosmos_qa,0.76,cosmos_qa,250
Quantized Base Model,multiple-choice,roberta-base,cosmos_qa,0.956,cosmos_qa,250
ONNX,multiple-choice,roberta-base,cosmos_qa,0.208,cosmos_qa,250
ONNX-OPT,multiple-choice,roberta-base,cosmos_qa,0.208,cosmos_qa,250
Quantized ONNX,multiple-choice,roberta-base,cosmos_qa,0.22,cosmos_qa,250
Quantized ONNX - OPT,multiple-choice,roberta-base,cosmos_qa,0.22,cosmos_qa,250
Quantized Base Model,multiple-choice,roberta-base,quartz,0.752,quartz,250
ONNX,multiple-choice,roberta-base,quartz,0.564,quartz,250
ONNX-OPT,multiple-choice,roberta-base,quartz,0.564,quartz,250
Quantized ONNX,multiple-choice,roberta-base,quartz,0.532,quartz,250
Quantized ONNX - OPT,multiple-choice,roberta-base,quartz,0.532,quartz,250
Quantized Base Model,multiple-choice,bert-base-uncased,race,0.948,race,250
ONNX,multiple-choice,bert-base-uncased,race,1.0,race,250
ONNX-OPT,multiple-choice,bert-base-uncased,race,1.0,race,250
Quantized ONNX,multiple-choice,bert-base-uncased,race,0.784,race,250
Quantized ONNX - OPT,multiple-choice,bert-base-uncased,race,0.784,race,250
Quantized Base Model,multiple-choice,roberta-base,race,0.948,race,250
ONNX,multiple-choice,roberta-base,race,0.268,race,250
ONNX-OPT,multiple-choice,roberta-base,race,0.268,race,250
Quantized ONNX,multiple-choice,roberta-base,race,0.272,race,250
Quantized ONNX - OPT,multiple-choice,roberta-base,race,0.272,race,250
